word,category,category_id,category_count
Landwirtschaftliche/r Labortechniker/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftliche/r Lohnunternehmer/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftliche/r Meister/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftliche/r Probennehmer/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftliche/r Sachverstaendige/r,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftliche/r Verwalter/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftlich-technische Sonderfachkraft,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftlich-technische/r Berater/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftlich-technische/r Laborant/in,1--SOC--Agriculture--agriculture,1,1
Agrartechnische/r Ass,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftlich-technische/r Assistent/in,1--SOC--Agriculture--agriculture,1,1
Farm Manager,1--SOC--Agriculture--agriculture,1,1
mit Elektromotor,1--SOC--Agriculture--agriculture,1,1
nicht selbstfahrend,1--SOC--Agriculture--agriculture,1,1
ohne Motor,1--SOC--Agriculture--agriculture,1,1
Maehmaschinen a.n.g,1--SOC--Agriculture--agriculture,1,1
Feldhaecksler, Traubenerntemaschinen,1--SOC--Agriculture--agriculture,1,1
Feldhaecksler, selbstfahrend,1--SOC--Agriculture--agriculture,1,1
Selbsttaetige Traenkebecken,1--SOC--Agriculture--agriculture,1,1
fuer Rasenmaeher,1--SOC--Agriculture--agriculture,1,1
Terra Preta,1--SOC--Agriculture--agriculture,1,1
"Landwirtschaft,""1--SOC--Agriculture--agriculture, 1--SOC--Infrastructure--construction_craft_sector"",""1, 7"",2"
Ackerrand,1--SOC--Agriculture--agriculture,1,1
Ernte,1--SOC--Agriculture--agriculture,1,1
Fachagrarwirt,1--SOC--Agriculture--agriculture,1,1
Fachagrarwirt/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftliche,1--SOC--Agriculture--agriculture,1,1
Agrarwirt/in,1--SOC--Agriculture--agriculture,1,1
Agrarwirt,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftsprojekte,1--SOC--Agriculture--agriculture,1,1
WirtschaftsduengerReststoffeGuelle,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftskammer,1--SOC--Agriculture--agriculture,1,1
"LandUNDForstwirte,""1--SOC--Agriculture--agriculture, 1--SOC--Agriculture--forestry"",""1, 2"",2"
Erntemoeglichkeiten,1--SOC--Agriculture--agriculture,1,1
Ackerarbeiter/in,1--SOC--Agriculture--agriculture,1,1
Ackerbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Ackerbaumeister/in,1--SOC--Agriculture--agriculture,1,1
Ackergehilf,1--SOC--Agriculture--agriculture,1,1
Ackerwirt/in,1--SOC--Agriculture--agriculture,1,1
Agrarbetriebswirt/in,1--SOC--Agriculture--agriculture,1,1
"Agrarfachwirt/in,""1--SOC--Agriculture--agriculture, 1--SOC--Finance--funding_financing_banks"",""1, 26"",2"
Agrarinformatiker/in,1--SOC--Agriculture--agriculture,1,1
Agrarinformatiktechniker/in,1--SOC--Agriculture--agriculture,1,1
"Agraringenieur/in,""1--SOC--Agriculture--agriculture, 1--SOC--Agriculture--domesticated_animal"",""1, 21"",2"
Agraringenieuroekonom/in,1--SOC--Agriculture--agriculture,1,1
Agrarlaborant/in,1--SOC--Agriculture--agriculture,1,1
Agraroekonom/in,1--SOC--Agriculture--agriculture,1,1
Agrarservicemeister/in,1--SOC--Agriculture--agriculture,1,1
Agrartechniker/in,1--SOC--Agriculture--agriculture,1,1
Agrarwirtschafter/in,1--SOC--Agriculture--agriculture,1,1
Agrarwirtschaftler/in,1--SOC--Agriculture--agriculture,1,1
Agrarwirtschaftsingenieur/in,1--SOC--Agriculture--agriculture,1,1
Agrarwissenschaftler/in,1--SOC--Agriculture--agriculture,1,1
Agrochemiemeister/in,1--SOC--Agriculture--agriculture,1,1
Agrochemiker/in,1--SOC--Agriculture--agriculture,1,1
Agronom/in,1--SOC--Agriculture--agriculture,1,1
Agrotechniker/in/Mechanisator/in,1--SOC--Agriculture--agriculture,1,1
Almbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Anbauberater/in,1--SOC--Agriculture--agriculture,1,1
Arzneipflanzenanbauer/in,1--SOC--Agriculture--agriculture,1,1
Arzneipflanzenbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Bauer/Baeuerin,1--SOC--Agriculture--agriculture,1,1
Betriebshilfering-Geschaeftsfuehrer/in,1--SOC--Agriculture--agriculture,1,1
Bodenprobennehmer/in,1--SOC--Agriculture--agriculture,1,1
Bodenpruefer/in,1--SOC--Agriculture--agriculture,1,1
Bodenschaetzer/in,1--SOC--Agriculture--agriculture,1,1
Dipl.-Agraring./Dipl.-Landwirt/in,1--SOC--Agriculture--agriculture,1,1
Dipl.-Agraring./-Landw,1--SOC--Agriculture--agriculture,1,1
Dipl.Agraring./in,1--SOC--Agriculture--agriculture,1,1
Dipl.Agraring./Dipl.Landwirt/in,1--SOC--Agriculture--agriculture,1,1
Dipl.-Landwirt/in,1--SOC--Agriculture--agriculture,1,1
Domaenenpaechter/in,1--SOC--Agriculture--agriculture,1,1
Domaenenverwalter/in,1--SOC--Agriculture--agriculture,1,1
Entwicklungshelfer/in,1--SOC--Agriculture--agriculture,1,1
Erntearbeiter/in,1--SOC--Agriculture--agriculture,1,1
Erntehelfer/in,1--SOC--Agriculture--agriculture,1,1
Agrarservice-Fachkraft,1--SOC--Agriculture--agriculture,1,1
Feldarbeiter/in,1--SOC--Agriculture--agriculture,1,1
Feldgemuesebauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Flachsbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Food-Chain-Manager/in,1--SOC--Agriculture--agriculture,1,1
"Fuetterer/Fuetterin,""1--SOC--Agriculture--agriculture, 1--SOC--Agriculture--domesticated_animal"",""1, 21"",2"
Geschaeftsfuehrer/in,1--SOC--Agriculture--agriculture,1,1
Gewuerzpflanzenanbauer/in,1--SOC--Agriculture--agriculture,1,1
Gewuerzpflanzenbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Gruenlandwirt/in,1--SOC--Agriculture--agriculture,1,1
Gueteraufseher/in,1--SOC--Agriculture--agriculture,1,1
Gueterdirektor/in,1--SOC--Agriculture--agriculture,1,1
Gueterinspektor/in,1--SOC--Agriculture--agriculture,1,1
Gueterverwalter/in,1--SOC--Agriculture--agriculture,1,1
Gutsaufseher/in,1--SOC--Agriculture--agriculture,1,1
Gutsbesitzer/in,1--SOC--Agriculture--agriculture,1,1
Gutspaechter/in,1--SOC--Agriculture--agriculture,1,1
Gutsverwalter/in,1--SOC--Agriculture--agriculture,1,1
Heilpflanzenanbauer/in,1--SOC--Agriculture--agriculture,1,1
Hilfsarbeiter/in,1--SOC--Agriculture--agriculture,1,1
Hofarbeiter/in,1--SOC--Agriculture--agriculture,1,1
Hofaufseher/in,1--SOC--Agriculture--agriculture,1,1
Hofbesitzer/in,1--SOC--Agriculture--agriculture,1,1
Hofpaechter/in,1--SOC--Agriculture--agriculture,1,1
Hopfenanbauer/in,1--SOC--Agriculture--agriculture,1,1
Hopfenbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Hopfenmeister/in,1--SOC--Agriculture--agriculture,1,1
Hopfenpfluecker/in,1--SOC--Agriculture--agriculture,1,1
Kartoffelerzeuger/in,1--SOC--Agriculture--agriculture,1,1
Kleinbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Kleinlandwirt/in,1--SOC--Agriculture--agriculture,1,1
Knecht,1--SOC--Agriculture--agriculture,1,1
Kohlbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Kolonnenarbeiter/in,1--SOC--Agriculture--agriculture,1,1
"Kolonnenfuehrer/in,""1--SOC--Agriculture--agriculture, 1--SOC--Infrastructure--construction_craft_sector"",""1, 7"",2"
Krautbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Kraeuteranbauer/in,1--SOC--Agriculture--agriculture,1,1
Kraeuterbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Landarbeiter/in,1--SOC--Agriculture--agriculture,1,1
Landarbeitsaufseher/in,1--SOC--Agriculture--agriculture,1,1
Landarbeitsgehilfe/-gehilfin,1--SOC--Agriculture--agriculture,1,1
Landarbeitshelfer/in,1--SOC--Agriculture--agriculture,1,1
Landbauberater/in,1--SOC--Agriculture--agriculture,1,1
Landbauingenieur/in,1--SOC--Agriculture--agriculture,1,1
Landbauwirtschafter/in,1--SOC--Agriculture--agriculture,1,1
Landgehilfe/-gehilfin,1--SOC--Agriculture--agriculture,1,1
Landtechnikberater/in,1--SOC--Agriculture--agriculture,1,1
Landtechniker/in,1--SOC--Agriculture--agriculture,1,1
Landwirt/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftsberater/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftshelfer/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftsingenieur/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftslaborant/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftsleiter/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftsmeister/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftstechniker/in,1--SOC--Agriculture--agriculture,1,1
Landwirtschaftswerker/in,1--SOC--Agriculture--agriculture,1,1
Lohnunternehmer/in,1--SOC--Agriculture--agriculture,1,1
Maeher/in,1--SOC--Agriculture--agriculture,1,1
Marschbauer/-baeuerin,1--SOC--Agriculture--agriculture,1,1
Maschinenring-Geschaeftsfuehrer/in,1--SOC--Agriculture--agriculture,1,1
Mechanisator/in,1--SOC--Agriculture--agriculture,1,1
